,Referrer,Day,Hour,Application,Catalog,Discount,Howtojoin,Insurance,Whoweare
2199,URI_45,Friday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2200,URI_111,Friday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2201,URI_70,Friday,"(6.0, 12.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2202,URI_80,Friday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2203,URI_45,Friday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]"
2204,URI_0,Friday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2205,URI_111,Friday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]"
2206,URI_0,Friday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2207,URI_9,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2208,URI_0,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2209,URI_0,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2210,URI_132,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2211,URI_111,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2212,URI_5,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2213,URI_0,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2214,URI_111,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2215,URI_9,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2216,URI_42,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2217,URI_80,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2218,URI_111,Friday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2219,URI_0,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2220,URI_111,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2221,URI_42,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2222,URI_38,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2223,URI_111,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2224,URI_42,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2225,URI_111,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2226,URI_9,Friday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2227,URI_42,Saturday,"(-0.001, 6.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2228,URI_45,Saturday,"(-0.001, 6.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2229,URI_5,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2230,URI_0,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2231,URI_0,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2232,URI_42,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2233,URI_111,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2234,URI_0,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2235,URI_42,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2236,URI_45,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2237,URI_45,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2238,URI_80,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2239,URI_80,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2240,URI_111,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2241,URI_111,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2242,URI_80,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2243,URI_0,Saturday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2244,URI_42,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2245,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2246,URI_38,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2247,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2248,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2249,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2250,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2251,URI_9,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2252,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2253,URI_53,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2254,URI_100,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2255,URI_80,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2256,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2257,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]"
2258,URI_9,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2259,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2260,URI_39,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2261,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2262,URI_9,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2263,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2264,URI_80,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2265,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2266,URI_9,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2267,URI_42,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2268,URI_118,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2269,URI_138,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2270,URI_51,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2271,URI_53,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2272,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2273,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2274,URI_101,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2275,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2276,URI_0,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2277,URI_9,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2278,URI_111,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2279,URI_42,Saturday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2280,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2281,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2282,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2283,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2284,URI_4,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2285,URI_80,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2286,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2287,URI_80,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]"
2288,URI_80,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2289,URI_42,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2290,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2291,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2292,URI_80,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2293,URI_111,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2294,URI_111,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2295,URI_0,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2296,URI_39,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2297,URI_93,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2298,URI_80,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2299,URI_74,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2300,URI_111,Saturday,"(18.0, 24.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2301,URI_39,Sunday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2302,URI_111,Sunday,"(-0.001, 6.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2303,URI_0,Sunday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2304,URI_5,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2305,URI_110,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2306,URI_0,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2307,URI_80,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2308,URI_111,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2309,URI_100,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2310,URI_42,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2311,URI_0,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2312,URI_0,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2313,URI_39,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2314,URI_93,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2315,URI_9,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2316,URI_9,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2317,URI_93,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2318,URI_111,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2319,URI_0,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]","(1.0, 300.0]"
2320,URI_45,Sunday,"(6.0, 12.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2321,URI_38,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2322,URI_111,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2323,URI_80,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2324,URI_3,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2325,URI_9,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2326,URI_9,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2327,URI_80,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2328,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]","(1.0, 300.0]"
2329,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2330,URI_45,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2331,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2332,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2333,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2334,URI_39,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2335,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2336,URI_100,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2337,URI_64,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2338,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2339,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2340,URI_9,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2341,URI_0,Sunday,"(12.0, 18.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
